# language_name_wals:	Jakaltek
# language_name_glotto:	Popti'
# iso639_3:	jac
# year_composed:	NA
# year_published:	1997
# mode:	written
# genre_broad:	non-fiction
# genre_narrow:	religion
# writing_system:	Latn
# special_characters:	NA
# short_description:	The New Testament in Eastern Jacalteco. Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.
# source:	http://www.bible.is/JACWBT/Matt/1
# copyright_short:	© Wycliffe Bible Translators1997
# copyright_long:	NA
# sample_type:	whole
# comments:	The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers.

40004015	Tx'otx' Zabul'on yeb tx'otx' Neftal'i , tx'otx' ayic'to satac'to ha' Jord'an , tx'otx' ayayo isti' ha' mar , yul ismajul tx'otx' Galilea bay ay tx'i'al anma mach Israeloj .
40004016	Huntek'an anma tu' aytic'aco xol k'ejholo yaja' wal tinan̈ xin xaapni issajilk'inal tet . Huntek'an anma tu' iscambalxatic'a , yaja' wal tinan̈ xaapni issajilk'inal yak'lobal yanma , ẍiayoj .
40004017	Ha' bey tu' xin ichico Comam Jes'us yalnic'o Istzoti' Comam Dios , chalni Comam : -- Bejwecano hewatx'en istx'ojal yuto yocxa Comam Dios ay yul satcan̈ Yahawo teyin̈ , ẍi Comam .
40004018	Hayet lan̈an isbelwi Comam Jes'us isti' ha' lago Galilea , yapni Comam isc'atan̈ cawan̈ ebnaj ik'omati cay , lan̈an yanayto ebnaj ishac' chiinahti no' cay xol ha' . Ebnaj cawan̈ ti' yuẍta isba ebnaj , ha' ton naj Sim'on , naj chihallaxpaxo Pedro , yeb xin naj Andr'es .
40004019	Yalni Comam tet ebnaj : -- Ocan̈we tzujno wintajan , wal tinan̈ haxa anma chexoc heyik'ahtij cat yoc yul ink'aban , ẍi Comam .
40004020	Yet yaben ebnaj yalni Comam haca' tu' , isbejnicano ebnaj ishac' , yoc tzujno ebnaj yinta Comam .
40004021	Haniq'uixto chito Comam Jes'us xin yilnipaxo Comam cawan̈xa ebnaj yuẍta isba , ha' ton naj Jacobo yeb naj Juan , ebnaj isc'ahol icham Zebedeo . Ayahto ebnaj yul isbarco yeb ismam tu' , lan̈an xin isbujni ebnaj ishac' . Yalnipaxo Comam tet ebnaj tato chioc tzujno ebnaj yinta Comam .
40004022	Yet yaben ebnaj hune' tu' yanicano ebnaj isbarco yeb ismam , yoc tzujno ebnaj yinta Comam .
40004023	Caw sunil yul ismajul Galilea ec' Comam Jes'us , iscuyni Comam anma yul hunun iscapilla ebnaj Israel , yalni Comam tzoti' c'ul yin̈ tzet chu yoc anma yul isk'ab Comam Dios . Yak'ni cawxo Comam anma yin̈ sunilal yabil ayco yin̈ , yeb anma chiec'ya' yanma .
40004024	Caw xin pujnacan̈ isk'umal Comam yul ismajul Siria , chiniti anma macta ayco yabil yin̈ . Ay mac ch'ec'ya' yanma yu yabil , ay mac ayco ischejab naj matzwalil yin̈ , aypaxo mac chilow yaxcamic yin̈ , yeb aypaxo mac camnajilo isnimanil . Sunil huntek'an anma tu' yak' cawxo Comam .
