language_name_glotto,filename,source
Basque,eus_nfi_272.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_273.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_274.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_275.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_276.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_277.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_278.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_279.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_28.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_280.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_281.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_282.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_283.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_284.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_285.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_286.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_287.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_288.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_289.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_29.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_290.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_291.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_292.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_293.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_294.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_295.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_296.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_297.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_298.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_299.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_3.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_30.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_300.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_301.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_302.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
