"Grapheme","Frequency","Codepoint","UnicodeName"
"ठ",5,"U+0920","DEVANAGARI LETTER TTHA"
"ण्",5,"U+0923, U+094D","DEVANAGARI LETTER NNA, DEVANAGARI SIGN VIRAMA"
"तों",5,"U+0924, U+094B, U+0902","DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN O, DEVANAGARI SIGN ANUSVARA"
"धी",5,"U+0927, U+0940","DEVANAGARI LETTER DHA, DEVANAGARI VOWEL SIGN II"
"पे",5,"U+092A, U+0947","DEVANAGARI LETTER PA, DEVANAGARI VOWEL SIGN E"
"बि",5,"U+092C, U+093F","DEVANAGARI LETTER BA, DEVANAGARI VOWEL SIGN I"
"रे",5,"U+0930, U+0947","DEVANAGARI LETTER RA, DEVANAGARI VOWEL SIGN E"
"रो",5,"U+0930, U+094B","DEVANAGARI LETTER RA, DEVANAGARI VOWEL SIGN O"
"वे",5,"U+0935, U+0947","DEVANAGARI LETTER VA, DEVANAGARI VOWEL SIGN E"
"वै",5,"U+0935, U+0948","DEVANAGARI LETTER VA, DEVANAGARI VOWEL SIGN AI"
"षे",5,"U+0937, U+0947","DEVANAGARI LETTER SSA, DEVANAGARI VOWEL SIGN E"
"हीं",5,"U+0939, U+0940, U+0902","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN II, DEVANAGARI SIGN ANUSVARA"
"०",4,"U+0966","DEVANAGARI DIGIT ZERO"
"३",4,"U+0969","DEVANAGARI DIGIT THREE"
"४",4,"U+096A","DEVANAGARI DIGIT FOUR"
"८",4,"U+096E","DEVANAGARI DIGIT EIGHT"
"९",4,"U+096F","DEVANAGARI DIGIT NINE"
"खा",4,"U+0916, U+093E","DEVANAGARI LETTER KHA, DEVANAGARI VOWEL SIGN AA"
"गौ",4,"U+0917, U+094C","DEVANAGARI LETTER GA, DEVANAGARI VOWEL SIGN AU"
"ञा",4,"U+091E, U+093E","DEVANAGARI LETTER NYA, DEVANAGARI VOWEL SIGN AA"
"तः",4,"U+0924, U+0903","DEVANAGARI LETTER TA, DEVANAGARI SIGN VISARGA"
"नै",4,"U+0928, U+0948","DEVANAGARI LETTER NA, DEVANAGARI VOWEL SIGN AI"
"मू",4,"U+092E, U+0942","DEVANAGARI LETTER MA, DEVANAGARI VOWEL SIGN UU"
"हां",4,"U+0939, U+093E, U+0902","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN AA, DEVANAGARI SIGN ANUSVARA"
"हैं",4,"U+0939, U+0948, U+0902","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN AI, DEVANAGARI SIGN ANUSVARA"
"५",3,"U+096B","DEVANAGARI DIGIT FIVE"
"६",3,"U+096C","DEVANAGARI DIGIT SIX"
"७",3,"U+096D","DEVANAGARI DIGIT SEVEN"
"कू",3,"U+0915, U+0942","DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN UU"
"ग़ु",3,"U+0917, U+093C, U+0941","DEVANAGARI LETTER GA, DEVANAGARI SIGN NUKTA, DEVANAGARI VOWEL SIGN U"
"गों",3,"U+0917, U+094B, U+0902","DEVANAGARI LETTER GA, DEVANAGARI VOWEL SIGN O, DEVANAGARI SIGN ANUSVARA"
"घ",3,"U+0918","DEVANAGARI LETTER GHA"
"छा",3,"U+091B, U+093E","DEVANAGARI LETTER CHA, DEVANAGARI VOWEL SIGN AA"
"टि",3,"U+091F, U+093F","DEVANAGARI LETTER TTA, DEVANAGARI VOWEL SIGN I"
"ढं",3,"U+0922, U+0902","DEVANAGARI LETTER DDHA, DEVANAGARI SIGN ANUSVARA"
"तो",3,"U+0924, U+094B","DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN O"
"पु",3,"U+092A, U+0941","DEVANAGARI LETTER PA, DEVANAGARI VOWEL SIGN U"
"बी",3,"U+092C, U+0940","DEVANAGARI LETTER BA, DEVANAGARI VOWEL SIGN II"
"बू",3,"U+092C, U+0942","DEVANAGARI LETTER BA, DEVANAGARI VOWEL SIGN UU"
"बे",3,"U+092C, U+0947","DEVANAGARI LETTER BA, DEVANAGARI VOWEL SIGN E"
"भ",3,"U+092D","DEVANAGARI LETTER BHA"
"भि",3,"U+092D, U+093F","DEVANAGARI LETTER BHA, DEVANAGARI VOWEL SIGN I"
"मी",3,"U+092E, U+0940","DEVANAGARI LETTER MA, DEVANAGARI VOWEL SIGN II"
"मु",3,"U+092E, U+0941","DEVANAGARI LETTER MA, DEVANAGARI VOWEL SIGN U"
"रें",3,"U+0930, U+0947, U+0902","DEVANAGARI LETTER RA, DEVANAGARI VOWEL SIGN E, DEVANAGARI SIGN ANUSVARA"
"लो",3,"U+0932, U+094B","DEVANAGARI LETTER LA, DEVANAGARI VOWEL SIGN O"
"शे",3,"U+0936, U+0947","DEVANAGARI LETTER SHA, DEVANAGARI VOWEL SIGN E"
"हु",3,"U+0939, U+0941","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN U"
"हें",3,"U+0939, U+0947, U+0902","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN E, DEVANAGARI SIGN ANUSVARA"
"हों",3,"U+0939, U+094B, U+0902","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN O, DEVANAGARI SIGN ANUSVARA"
"(",2,"U+0028","LEFT PARENTHESIS"
")",2,"U+0029","RIGHT PARENTHESIS"
"खि",2,"U+0916, U+093F","DEVANAGARI LETTER KHA, DEVANAGARI VOWEL SIGN I"
"ख्",2,"U+0916, U+094D","DEVANAGARI LETTER KHA, DEVANAGARI SIGN VIRAMA"
"ग़ा",2,"U+0917, U+093C, U+093E","DEVANAGARI LETTER GA, DEVANAGARI SIGN NUKTA, DEVANAGARI VOWEL SIGN AA"
