"Grapheme","Frequency","Codepoint","UnicodeName"
"လွှ",1611,"U+101C, U+103D, U+103E","MYANMAR LETTER LA, MYANMAR CONSONANT SIGN MEDIAL WA, MYANMAR CONSONANT SIGN MEDIAL HA"
"တု",1546,"U+1010, U+102F","MYANMAR LETTER TA, MYANMAR VOWEL SIGN U"
"ပု",1543,"U+1015, U+102F","MYANMAR LETTER PA, MYANMAR VOWEL SIGN U"
"ဇေ",1542,"U+1007, U+1031","MYANMAR LETTER JA, MYANMAR VOWEL SIGN E"
"ထံ",1509,"U+1011, U+1036","MYANMAR LETTER THA, MYANMAR SIGN ANUSVARA"
"စ္",1501,"U+1005, U+1039","MYANMAR LETTER CA, MYANMAR SIGN VIRAMA"
"တူ",1489,"U+1010, U+1030","MYANMAR LETTER TA, MYANMAR VOWEL SIGN UU"
"ကု",1469,"U+1000, U+102F","MYANMAR LETTER KA, MYANMAR VOWEL SIGN U"
"ခွ",1462,"U+1001, U+103D","MYANMAR LETTER KHA, MYANMAR CONSONANT SIGN MEDIAL WA"
"ယု",1449,"U+101A, U+102F","MYANMAR LETTER YA, MYANMAR VOWEL SIGN U"
"ရို",1423,"U+101B, U+102D, U+102F","MYANMAR LETTER RA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U"
"မို",1404,"U+1019, U+102D, U+102F","MYANMAR LETTER MA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U"
"ဝေ",1395,"U+101D, U+1031","MYANMAR LETTER WA, MYANMAR VOWEL SIGN E"
"ပျ",1394,"U+1015, U+103B","MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL YA"
"ဘဲ",1385,"U+1018, U+1032","MYANMAR LETTER BHA, MYANMAR VOWEL SIGN AI"
"နှု",1370,"U+1014, U+103E, U+102F","MYANMAR LETTER NA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR VOWEL SIGN U"
"ရဲ",1345,"U+101B, U+1032","MYANMAR LETTER RA, MYANMAR VOWEL SIGN AI"
"ခြေ",1342,"U+1001, U+103C, U+1031","MYANMAR LETTER KHA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN E"
"ဆီ",1329,"U+1006, U+102E","MYANMAR LETTER CHA, MYANMAR VOWEL SIGN II"
"ခို",1311,"U+1001, U+102D, U+102F","MYANMAR LETTER KHA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U"
"ဟိ",1305,"U+101F, U+102D","MYANMAR LETTER HA, MYANMAR VOWEL SIGN I"
"တံ",1290,"U+1010, U+1036","MYANMAR LETTER TA, MYANMAR SIGN ANUSVARA"
"အို",1225,"U+1021, U+102D, U+102F","MYANMAR LETTER A, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U"
"ကြွ",1220,"U+1000, U+103C, U+103D","MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR CONSONANT SIGN MEDIAL WA"
