# language_name_wals:	Khalkha
# language_name_glotto:	Halh Mongolian
# ISO_6393:	khk
# year_composed:	NA
# year_published:	2004
# mode:	written
# genre_broad:	non-fiction
# genre_narrow:	religion
# writing_system:	Latn
# special_characters:	NA
# short_description:	New Testament Portions in Halh Mongolian. Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.
# source:	http://www.biblesos.org/mn/Abrahamyn-udam-Davidyn-udam-Yesus-Hristiin-ugiin-bichig/
# copyright_short:	NA
# copyright_long:	NA
# sample_type:	whole
# comments:	The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers.

40004024	Tuunii tuhai zar buh Siri dayaar tarhsand , humuus zovj shanalsan , chotgor shuglesen , unaj tatdag ovchtei , saa ovchtei buhniig Tuun deer avchrahad Yesus tedniig edgeejee .
40004025	Galil , Dyekapolis , Iyerusalim , Iudyei tuunchlen Iordany terteegees ui olon hun Tuuniig dagalaa .
40005001	Yesus olon tumniig haraad , uul ood garav . Tuuniig suusny daraa shavi nar ni Tuun deer irlee .
40005002	Ter amaa neen , tedend surgaj ehlev . —
40005003	Sunsen dotroo yaduu humuus yerooltei yee ! Uchir ni tengeriin haanchlal bol tedniih yum .
40005004	Gashuudaj bui humuus yerooltei yee ! Uchir ni ted taivshral avah bolno .
40005005	Dolgoon humuus yerooltei yee ! Uchir ni ted delhiig ovlon avah bolno .
40005006	Zovt baidlyn toloo olsoj tsangagch humuus yerooltei yee ! Uchir ni ted hangaluun boloh bolno .
40005007	Enerengui humuus yerooltei yee ! Uchir ni ted orshool enerliig hurteh bolno .
40005008	Zurhen dotroo tsever ariun baigch humuus yerooltei yee ! Uchir ni ted Burhanyg harah bolno .
40005009	Amar taivnyg togtoogch humuus yerooltei yee ! Uchir ni ted Burhany hovguud gej nerlegdeh bolno .
40005010	Zovt baidlyn toloo havchigdsan humuus yerooltei yee ! Uchir ni tengeriin haanchlal bol tedniih yum .
40005011	Nadaas bolj ta naryg humuus doromjilj , havchij , huuramchaar ta naryn esreg zusen buriin horon muug yarihad ta nar yerooltei yee !
40005012	Tenger deh shagnal tani aguu uchir bayarlatsgaa , mon bayar hoortei baitsgaa . Uchir ni ta naraas omno baisan esh uzuulegchdiig ted tiinhuu havchsan yum .
40005013	Ta nar bol gazryn davs . Herev davs amtaa aldval dahiad yaaj davslag bolgoh ve ? Ene ni gadagshaa hayagdaj , humuusiin hol door gishgegdehees oor yuund ch hereg boldoggui .
40005014	Ta nar bol delhiin gerel mon . Uulan deerh hot nuugdaj ul chadna .
40005015	Humuus denluu asaagaad savny door tavidaggui , harin denluunii suurin deer tavidag . Ter ni gert baigaa bugded gerlee tusgadag bilee .
40005016	Humuus ta naryn sain uilsiig haraad , tenger deh Etsegiig tani aldarshuulahyn tuld ta naryn gerel tednii omno tiinhuu gerelteg .
40005017	Huuliig esvel Esh uzuulegchdiig heregsehgui bolgohoor Namaig irsen gej buu bod . Heregsehgui bolgohyn tuld bus , harin guitselduulehiin tuld Bi irsenyum .
40005018	Uneneer Bi ta nart heliye , tenger gazryg alga boltol , bugd biyelegdtel Huulias gants ch useg , gants ch zuraas alga bolohgui .
40005019	Hen bolovch edgeer tushaaluudaas hamgiin ochuuhniig ni ch ul toomsorloj , busdad tiin surgaval tengeriin haanchlald hamgiin ochuuhen negen gegdeh bolno . Harin hen bolovch tedgeeriig sahij , surgaval tengeriin haanchlald aguu negen gegdeh bolno .
40005020	Bi ta nart heliye , herev ta naryn zovt baidal chini farisaichuud bolon huuliin bagsh naraas iluu garahgui l bol , ta nar tengeriin haanchlald orohgui .
40005021	" Hun alj bolohgui , hunii amiig honooson hen bolovch shiitguulbel zohino " gej ertnii humuust aildsanyg ta nar sonsson .
40005022	Harin Bi ta nart heliye , ah duudee hilegnegch aliv hun shuuhiin omno buruutai . Ah duugee " Hooson tolgoi " gej helsen hen bolovch zovloliin omno buruutai . " Munhag " gej helsen hen bolovch galtai tamd orohod hangalttai buruutgagdah bolno .
40005023	Iimees , herev chi tahilyn shireend orgol orgoh gej baihdaa chinii esreg yamar neg yum ah duud chini baigaag sanaval ,
40005024	orgoloo tahilyn shireenii omno orhiod zamaaraa buts . Ehleed ah duuteigee evler , daraa ni irj orgoloo orgo .
